review_id,chunk_id,sample_reason,source_id,document_id,chunk_type,agent_namespace,lifecycle_status,token_count,clean_source_conformity,locator_check,token_check,lifecycle_check,namespace_check,metadata_check,meaning_preserved,pii_check,single_source_check,reviewer,reviewed_at_wib,review_status,review_notes
MCR-0018,CH-ACA-A02-DOC-A02-ACTIVE-CURRICULUM_NARRATIVE-0002,Deterministic fill,A02,DOC-A02-ACTIVE,CURRICULUM_NARRATIVE,academic,ACTIVE,628,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0019,CH-ACA-A12-DOC-A12-EQUIVALENCY_ROW-0048,Deterministic fill,A12,DOC-A12,EQUIVALENCY_ROW,academic,ACTIVE,173,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0020,CH-ACA-A12-DOC-A12-EQUIVALENCY_ROW-0020,Deterministic fill,A12,DOC-A12,EQUIVALENCY_ROW,academic,ACTIVE,180,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0021,CH-ACA-A07-DOC-A07-ACTIVE-GRADUATION_POLICY-0017,Deterministic fill,A07,DOC-A07-ACTIVE,GRADUATION_POLICY,academic,ACTIVE,572,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0022,CH-ARC-D01-DOC-D01-ARCHIVE_EVENT-0005,Deterministic fill,D01,DOC-D01,ARCHIVE_EVENT,schedule,ARCHIVE,178,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0023,CH-ACA-A10-DOC-A10-COURSE_ROW-0002,Deterministic fill,A10,DOC-A10,COURSE_ROW,academic,ACTIVE,148,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0024,CH-ACA-A11-DOC-A11-COURSE_NODE-0006,Deterministic fill,A11,DOC-A11,COURSE_NODE,academic,ACTIVE,228,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0025,CH-ACA-A12-DOC-A12-EQUIVALENCY_ROW-0051,Deterministic fill,A12,DOC-A12,EQUIVALENCY_ROW,academic,ACTIVE,159,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0026,CH-ARC-A04-DOC-A04-ARCHIVE_EVENT-0002,Deterministic fill,A04,DOC-A04,ARCHIVE_EVENT,schedule,ARCHIVE,157,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0027,CH-ACA-A10-DOC-A10-COURSE_ROW-0061,Deterministic fill,A10,DOC-A10,COURSE_ROW,academic,ACTIVE,168,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0028,CH-ACA-A07-DOC-A07-ACTIVE-GRADUATION_POLICY-0002,Deterministic fill,A07,DOC-A07-ACTIVE,GRADUATION_POLICY,academic,ACTIVE,565,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0029,CH-ADM-B04-DOC-B04-PROCEDURE-0003,Deterministic fill,B04,DOC-B04,PROCEDURE,administration,ACTIVE,175,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0030,CH-DYN-A03-DOC-A03-CURRENT_EVENT-0004,Deterministic fill,A03,DOC-A03,CURRENT_EVENT,schedule,ACTIVE_DYNAMIC,126,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0031,CH-ADM-B04-DOC-B04-PROCEDURE-0002,Deterministic fill,B04,DOC-B04,PROCEDURE,administration,ACTIVE,221,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0032,CH-ACA-A10-DOC-A10-COURSE_ROW-0026,Deterministic fill,A10,DOC-A10,COURSE_ROW,academic,ACTIVE,150,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
